repo,evidence_file
tier4/autoware-ml,pyproject.toml
Cazzy-Aporbo/PearlMind-ML-Journey,pyproject.toml
sunnynguyen-ai/fraud-detection-system,requirements.txt
ScopeX-ASU/MAPS,requirements.txt
hpccube/OneScience,setup.py
Abraham-Einstein/MAFS,requirements.txt
radixark/miles,setup.py
NVIDIA-AI-Blueprints/ai-model-distillation-for-financial-data,pyproject.toml
UpcNlp/OiaFed,pyproject.toml
hoangsonww/Spot-the-Scam-AI-Job-Fraud,pyproject.toml
kylejones200/geosuite,pyproject.toml
NabidAlam/road-to-machine-learning,requirements.txt
antoinelemor/LLM_Tool,pyproject.toml
nex-agi/NexRL,pyproject.toml
Qredence/fleet-rlm,pyproject.toml
theja-vanka/AutoTimm,pyproject.toml
datasciencemonkey/coding-agents-databricks-apps,pyproject.toml
theoddden/Terradev,pyproject.toml
Galbaz1/video-research-mcp,pyproject.toml
boson-ai/FeynRL,requirements.txt
tomrussobuilds/orchard-ml,pyproject.toml
onescience-ai/OneScience,requirements.txt
msaad00/agent-bom,pyproject.toml
microsoft/physical-ai-toolchain,pyproject.toml
MakazhanAlpamys/Soup,pyproject.toml
Climate-Vision/ClimateVision,requirements.txt
SuperagenticAI/superoptix,pyproject.toml
Qitor/qitos,setup.py
PSURI1894/Adversarially-resilient-detection-pipelines,requirements.txt
FeynRL-project/FeynRL,requirements.txt
terrastackai/geospatial-studio-core,pyproject.toml
red-hat-data-services/agentic-starter-kits,pyproject.toml
adrianco/retort,pyproject.toml
ThomazRossito/data-agents,pyproject.toml
CognicellAI/Cognition,pyproject.toml
Jiahong-Que-9527/SoloLakehouse,requirements.txt
GioiaZheng/msmarco-genqa,pyproject.toml
TrustifAI/trustifai,pyproject.toml
murtiunlimited/FER-PROJ-2,requirements.txt
openclaw/clawbench,pyproject.toml
SuperagenticAI/rlm-code,pyproject.toml
kkruglik/mlflow-mcp,pyproject.toml
murtiunlimited/face-emotion-recognition,requirements.txt
opendatahub-io/agent-eval-harness,pyproject.toml
NVIDIA-NeMo/nemo-platform,pyproject.toml
ai-infra-curriculum/ai-infra-engineer-learning,requirements.txt
eduardocornelsen/full-funnel-ai-analytics,requirements.txt
Tejas-TA/predikit,pyproject.toml
SuperagenticAI/superqode,pyproject.toml
WhitzardAgent/qitos,setup.py
genalyu/WM-R1,requirements.txt
getcommunityone/open-navigator,requirements.txt
