repo,evidence_file,evidence_path
ASLP-lab/WenetSpeech-Yue,requirements.txt,CosyVoice2-Yue/third_party/Matcha-TTS/requirements.txt
kayba-ai/agentic-context-engine,pyproject.toml,sdk/python/pyproject.toml
bodo-ai/pydough-ce,environment.yml,dspy_pydough_pipeline_parallel/environment.yml
cmpnd-ai/dspy-cli,pyproject.toml,examples/code-review-agent/pyproject.toml
microsoft/fara,pyproject.toml,webeval/pyproject.toml
dream-horizon-org/darwin,setup.py,darwin-cli/setup.py
DHT-AI-Studio/RAPTOR,pyproject.toml,Aigle/0.1/raptor/AiModelLifecycle/pyproject.toml
Kilo-Org/kilo-marketplace,pyproject.toml,skills/azureml-scaffolding/assets/src/mypkg/pyproject.toml
aws-samples/sample-bedrock-migration-and-modernization-tools,requirements.txt,usecase-examples/financial-compliance-agent-eval/haystack-intro/requirements.txt
microsoft/agent-governance-toolkit,pyproject.toml,agent-governance-python/agent-governance-toolkit-cli/pyproject.toml
